INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (1, 1, 'Kahaleel', 6713, '05 Hoard Hill');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (2, 2, 'Anson', 6775, '66 Burning Wood Drive');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (3, 3, 'Archer', 2267, '51179 Karstens Lane');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (4, 4, 'Wilma', 9887, '2 Tony Plaza');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (5, 5, 'Jock', 3375, '18 Commercial Crossing');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (6, 6, 'Tallou', 3996, '824 Pennsylvania Street');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (7, 7, 'Ulric', 2100, '38 Darwin Circle');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (8, 8, 'Taryn', 5475, '892 Vahlen Point');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (9, 9, 'Ernaline', 6946, '94277 Bartillon Parkway');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (10, 10, 'Tina', 6721, '41 Transport Center');
INSERT INTO COMPLEJO-POLIDEPORTIVO (ID_COMPLEJO_POLIDEPORTIVO, ID_COMPLEJO_DEPORTIVO, JEFE_ORGANIZACION, AREA_TOTAL, INDICACION) values (11, 11, 'Forrester', 3150, '11989 Fairfield Alley');
