INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374890, 12374890, 100000, 100000, 'Graduacion universidad', 23401, '2:47 PM', '2/17/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374900, 12374900, 100010, 100010, 'Cena familiar', 51717, '12:02 AM', '8/12/2021');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374910, 12374910, 100020, 100020, 'Cumpleaños', 34265, '4:37 PM', '1/16/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374920, 12374920, 100030, 100030, 'boda con XV', 86159, '5:22 PM', '1/7/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374930, 12374930, 100040, 100040, 'boda con XV', 57857, '7:34 AM', '1/28/2023');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374940, 12374940, 100050, 100050, 'boda con XV', 88597, '6:30 AM', '8/27/2021');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374950, 12374950, 100060, 100060, 'Cumpleaños', 38193, '8:37 AM', '3/22/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374960, 12374960, 100070, 100070, 'Cumpleaños', 89654, '9:51 AM', '9/15/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374970, 12374970, 100080, 100080, 'boda con XV', 17506, '7:04 PM', '12/3/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374980, 12374980, 100090, 100090, 'Cumpleaños', 10283, '6:42 AM', '4/24/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12374990, 12374990, 100100, 100100, 'Graduacion de preparatoria', 81507, '11:34 PM', '7/16/2021');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375000, 12375000, 100110, 100110, 'Jardin para XV', 96045, '4:56 PM', '4/18/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375010, 12375010, 100120, 100120, 'Fiesta de trabajo', 22801, '1:02 PM', '3/5/2023');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375020, 12375020, 100130, 100130, 'Jardin para XV', 28330, '8:03 AM', '6/4/2023');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375030, 12375030, 100140, 100140, 'Cumpleaños', 85702, '6:07 AM', '11/26/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375040, 12375040, 100150, 100150, 'Cumpleaños', 81611, '10:49 PM', '1/12/2023');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375050, 12375050, 100160, 100160, 'Graduacion universidad', 51578, '9:55 AM', '8/27/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375060, 12375060, 100170, 100170, 'Cena familiar', 13782, '10:19 AM', '9/30/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375070, 12375070, 100180, 100180, 'Jardin para XV', 58997, '4:12 AM', '10/17/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375080, 12375080, 100190, 100190, 'Graduacion de preparatoria', 25798, '8:22 PM', '3/25/2023');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375090, 12375090, 100200, 100200, 'boda con XV', 93229, '9:22 AM', '7/16/2022');
INSERT INTO EVENTOS (CODIGO, CODIGO_ANIMADOR, ID_PRESENTADOR, ID_CLIENTE, DESCRIPCION, VALOR_BASE, HORARIO, FECHA) values (12375100, 12375100, 100210, 100210, 'Graduacion de preparatoria', 57265, '12:15 AM', '12/19/2021');
